id,category,text
capture-open,shortcuts,"Start a capture anytime with {Ctrl+Shift+A}."
capture-confirm,shortcuts,"Copy the selected capture with {Enter}."
capture-cancel,shortcuts,"Press {Esc} once to deselect an annotation and again to cancel capture."
capture-manual,selection,"Drag anywhere to create a custom capture region."
capture-window,selection,"Hover a window for auto-region detect and click to capture its full frame."
capture-monitor,selection,"Move near a monitor top edge to select that full screen."
capture-all-screens,selection,"Touch the desktop's top edge to select every screen."
capture-lock,selection,"Click the top-center lock icon to save and reuse the same region next time."
capture-ratio,selection,"Cycle ratios for social posts, slides, and portraits with the top-center ratio icon."
capture-ratio-scale,selection,"Use the mouse wheel to scale a preset-ratio region."
capture-ratio-fine,selection,"Hold {Shift} for 2% steps or {Ctrl} for precise 0.5% scaling."
capture-magnifier,selection,"Use the pixel magnifier to place an exact starting point."
tool-cycle,shortcuts,"Use {Tab} and {Shift+Tab} to move between annotation tools."
color-cycle,shortcuts,"Use {Ctrl+Tab} and {Ctrl+Shift+Tab} to cycle the current tool swatch."
color-default,preferences,"Double-click a swatch to make it the default."
rectangle-tool,tools,"Frame an area with Rectangle, then resize from any handle."
oval-tool,tools,"Use Oval to circle details, then drag its handles to resize."
line-tool,tools,"Use Line to underline details, then reshape it from either endpoint."
arrow-tool,tools,"Use Arrow to point at details, then reshape it from either endpoint."
pen-tool,tools,"Sketch freely with Pen, or switch its tip to an arrow."
highlighter-tool,tools,"Highlight with a line or area while keeping content readable."
text-tool,tools,"Click for inline text or drag to create a wrapping text box."
text-lines,editing,"Use {Shift+Enter} to add a line break inside editable text."
tag-tool,tools,"Use Tag for a callout box with a movable pointer."
numbering-tool,tools,"Enable Numbering, then click to place sequential steps."
numbering-edit,editing,"Double-click a numbered badge to replace its value."
mosaic-tool,tools,"Use Mosaic to conceal details while preserving nearby annotations."
watermark-tool,tools,"Use the Watermark tool to add repeating text, dates, and/or a logo to your captures."
undo-action,shortcuts,"Undo the latest edit with {Ctrl+Z}."
save-action,shortcuts,"Save the current capture quickly with {Ctrl+S}."
copy-action,output,"Tap {Enter} to take the current region and annotations directly to your clipboard."
auto-save,preferences,"Enable Auto-save in the tray to keep captures without prompts."
auto-save-folder,preferences,"Open your auto-save folder from its tray shortcut."
startup,preferences,"Use Run on startup to keep Screen Cap'n ready in the tray."
shortcut-editor,preferences,"Change the quick-access shortcut from the tray menu."
setup-access,preferences,"Reopen Screen Cap'n setup anytime from the tray."
report-bug,preferences,"Help us improve by reporting bugs to Support."
update-action,updates,"Improved versions will show the update badge. Click to update from the Store."
toolbar-move,editing,"Drag and move the toolbar grip on the far left when it covers part of your capture."
object-edit,editing,"Select an annotation to move it or resize it from its handles."
right-click,editing,"Right-click the canvas to leave the current edit cleanly."
line-weight-editing,shortcuts,"Adjust line width with {Up Arrow} or {Down Arrow}."
